vid,wer,survival,chars
d55_whiteonwhite_C6_noise,0.3898,0.441,944
d55_whiteonwhite_C6_rotate,0.2373,0.407,917
d55_whiteonwhite_C6_lowdpi,0.2034,0.407,919
d02_body_C3_noise,0.299,1.0,1482
d02_body_C3_rotate,0.1959,1.0,1456
d02_body_C3_lowdpi,0.1907,1.0,1455
d02_footer_C4_noise,0.3969,0.849,1481
d02_footer_C4_rotate,0.201,0.879,1455
d02_footer_C4_lowdpi,0.1856,1.0,1456
d02_whiteonwhite_C1_noise,0.2629,0.444,1418
d02_whiteonwhite_C1_rotate,0.1546,0.422,1401
d02_whiteonwhite_C1_lowdpi,0.134,0.422,1400
d07_body_C2_noise,0.4262,1.0,1021
d07_body_C2_rotate,0.3033,0.914,1018
d07_body_C2_lowdpi,0.3033,1.0,1015
d07_footer_C3_noise,0.4344,1.0,1015
d07_footer_C3_rotate,0.2623,1.0,991
d07_footer_C3_lowdpi,0.3033,1.0,994
d07_whiteonwhite_C6_noise,0.3852,0.407,951
d07_whiteonwhite_C6_rotate,0.2295,0.407,938
d07_whiteonwhite_C6_lowdpi,0.2377,0.407,938
d12_body_C1_noise,0.534,1.0,934
d12_body_C1_rotate,0.2233,0.889,838
d12_body_C1_lowdpi,0.3981,1.0,804
d12_footer_C2_noise,0.6214,0.833,956
d12_footer_C2_rotate,0.2427,1.0,868
d12_footer_C2_lowdpi,0.4466,1.0,833
d12_whiteonwhite_C5_noise,0.4175,0.5,848
d12_whiteonwhite_C5_rotate,0.1748,0.5,789
d12_whiteonwhite_C5_lowdpi,0.3495,0.5,759
d17_body_C6_noise,0.3359,1.0,956
d17_body_C6_rotate,0.2061,1.0,940
d17_body_C6_lowdpi,0.1603,1.0,939
d17_footer_C1_noise,0.374,0.892,974
d17_footer_C1_rotate,0.1985,1.0,958
d17_footer_C1_lowdpi,0.1832,1.0,958
d17_whiteonwhite_C4_noise,0.3511,0.393,928
d17_whiteonwhite_C4_rotate,0.1679,0.393,911
d17_whiteonwhite_C4_lowdpi,0.1374,0.393,909
d22_body_C5_noise,0.2872,1.0,1438
d22_body_C5_rotate,0.1949,1.0,1420
d22_body_C5_lowdpi,0.159,1.0,1422
d22_footer_C6_noise,0.2667,0.862,1433
d22_footer_C6_rotate,0.1897,1.0,1427
d22_footer_C6_lowdpi,0.1641,1.0,1428
d22_whiteonwhite_C3_noise,0.3077,0.457,1425
d22_whiteonwhite_C3_rotate,0.1744,0.476,1397
d22_whiteonwhite_C3_lowdpi,0.1487,0.476,1398
d27_body_C4_noise,0.4087,1.0,1009
d27_body_C4_rotate,0.287,1.0,1000
d27_body_C4_lowdpi,0.2957,1.0,1000
d27_footer_C5_noise,0.3217,0.913,987
d27_footer_C5_rotate,0.2435,1.0,967
d27_footer_C5_lowdpi,0.2261,1.0,966
d27_whiteonwhite_C2_noise,0.3304,0.457,968
d27_whiteonwhite_C2_rotate,0.2261,0.471,944
d27_whiteonwhite_C2_lowdpi,0.2348,0.471,943
d32_body_C3_noise,0.551,0.857,818
d32_body_C3_rotate,0.3163,0.781,767
d32_body_C3_lowdpi,0.3776,1.0,713
d32_footer_C4_noise,0.4796,0.822,824
d32_footer_C4_rotate,0.3571,0.906,776
